,index,NB_imports_ME,HQ_imports_VT,NY_imports_CT,NY_imports_WCMA,NY_imports_VT
0,0,26406.14640262113,42235.51138851626,3898.1436414678155,974.5359103669539,3898.1436414678155
1,1,28694.054502039864,43611.46926455262,0.0,0.0,0.0
2,2,25548.922579575155,47301.345193248264,548.8471685017207,137.21179212543018,548.8471685017207
3,3,18310.236326415277,47555.7783132729,9683.127503489675,2420.781875872419,9683.127503489675
4,4,9298.349991777384,47897.880859736455,11214.75514688976,2803.68878672244,11214.75514688976
5,5,15861.287774618891,37517.334797561576,13620.677611195637,3405.1694027989092,13620.677611195637
6,6,18210.18270709908,38935.09295644253,5727.492298531043,1431.8730746327608,5727.492298531043
7,7,13249.679249351233,40970.31922733294,9764.358867819683,2441.0897169549207,9764.358867819683
8,8,19140.354126475282,45991.03511028965,5230.279727324959,1307.5699318312397,5230.279727324959
9,9,17090.561876689742,41988.40598537826,7456.260564089932,1864.065141022483,7456.260564089932
10,10,9817.721281732622,37397.15331199256,13865.835723962164,3466.458930990541,13865.835723962164
11,11,6378.686328771441,30543.56802834278,12475.027496181858,3118.7568740454644,12475.027496181858
12,12,0.0,28607.293589311408,14040.658893962725,3510.1647234906814,14040.658893962725
13,13,895.9646690646059,35436.43361615556,9096.489715692136,2274.122428923034,9096.489715692136
14,14,0.0,30354.665964572894,2640.048396980045,660.0120992450112,2640.048396980045
15,15,6298.5407307238465,36193.449500589144,6307.086442306074,1576.7716105765185,6307.086442306074
16,16,2183.990543359996,43072.80519215299,4277.740716053284,1069.435179013321,4277.740716053284
17,17,0.0,44229.55712617297,6397.550370931529,1599.3875927328822,6397.550370931529
18,18,0.0,46098.100420269824,6037.406051331753,1509.3515128329382,6037.406051331753
19,19,5330.751260995088,47222.45062298213,7961.311047174128,1990.327761793532,7961.311047174128
20,20,0.0,43976.56643367653,10653.359502409721,2663.3398756024303,10653.359502409721
21,21,0.0,44635.40453962022,8006.045472253452,2001.511368063363,8006.045472253452
22,22,0.0,43044.288250112215,9594.655273076949,2398.6638182692373,9594.655273076949
23,23,0.0,43626.09087802377,12325.004082873025,3081.2510207182563,12325.004082873025
24,24,0.0,40216.822371642855,13339.945879230021,3334.9864698075053,13339.945879230021
25,25,6573.558036192288,37469.62065304991,15749.79992464549,3937.4499811613723,15749.79992464549
26,26,8078.215574501841,40540.61543919835,16857.674889034082,4214.418722258521,16857.674889034082
27,27,11147.376110663408,32319.61041111811,18339.882374496196,4584.970593624049,18339.882374496196
28,28,19529.00545731823,28665.698553462356,14655.04261652327,3663.7606541308173,14655.04261652327
29,29,18338.541680927086,36493.834956272956,15364.921231653247,3841.2303079133117,15364.921231653247
30,30,12766.229290551191,29300.023402526807,11230.935248054737,2807.733812013684,11230.935248054737
31,31,19678.664314531554,39002.54718772639,6732.488373660928,1683.122093415232,6732.488373660928
32,32,15907.922689689598,40489.48176413377,4047.687390210269,1011.9218475525672,4047.687390210269
33,33,15156.506575676554,44085.29991919254,5131.844332646641,1282.9610831616603,5131.844332646641
34,34,2935.460194326868,47541.024130286125,7916.325277558607,1979.0813193896518,7916.325277558607
35,35,13346.946504205847,49544.991848616526,4810.452692893001,1202.6131732232502,4810.452692893001
36,36,7712.959750059185,40683.66749691248,9479.96539123306,2369.991347808265,9479.96539123306
37,37,12513.68872847625,36087.1648690113,14246.39934582121,3561.5998364553025,14246.39934582121
38,38,17264.21564606917,39544.24568577554,6994.974371113069,1748.7435927782672,6994.974371113069
39,39,14119.700638716045,37620.56278954445,5562.512529991188,1390.628132497797,5562.512529991188
40,40,7211.971607937598,33237.27424373113,9926.111208167878,2481.5278020419696,9926.111208167878
41,41,13043.598641643955,35753.20404685348,5298.788023135029,1324.6970057837573,5298.788023135029
