,CT,ME,NEMA,NH,RI,SEMA,VT,WCMA
0,4257.195213270732,1564.5920962424266,3496.3588599301625,1666.6864776604732,1135.3936800158904,2050.630067516843,801.5062781941432,2418.6291299910527
1,4248.5145495982215,1544.7176363981507,3360.1937838863,1570.401376041044,1120.3460550063664,1987.3591973573498,807.6679187426696,2367.216146714461
2,4091.9871067700738,1532.7831271373404,3372.214297470419,1619.4344920982169,1110.7731538300748,2002.1194503940678,827.2393468505961,2327.8002910642554
3,4151.49781193511,1599.4689175325382,3473.1644176392574,1664.2565117991091,1062.3776349600664,1957.8595520975293,831.3208139794534,2399.3263202671505
4,3814.5353060130865,1590.7899900690709,3230.1205905011457,1574.8721934060256,1009.9863535664712,1840.6619938952579,766.6221626171334,2185.40685935999
5,3645.2836719970414,1510.8874308703325,2968.880289973179,1447.9845252437497,948.8648027656224,1680.112628573858,728.874706822417,2077.92267158378
6,3628.710227870603,1509.4950263309602,2977.0699284774246,1534.9586168715741,974.1492214349561,1818.8425823850991,725.3620555258535,2146.8413260826655
7,3986.5376129393585,1598.2307622651706,3274.4607292328074,1668.5237422043015,1055.4640675737753,1957.7559288848965,726.5785586457528,2264.727238563624
8,4146.177694028227,1509.4301160444231,3360.1220722975468,1682.94911858489,1076.5451213727806,2018.784746415469,733.0144591244491,2341.0735314345907
9,3846.611510399467,1425.0768012415754,3293.75722158869,1539.93773820246,1013.4931045255041,1910.04968106431,727.0522379797574,2182.339109571187
10,4422.394577090393,1551.714344273729,3498.285060557353,1750.2830239057805,1110.9783912146502,2105.5772766605905,852.1030806390684,2464.208211120887
11,4629.075708825631,1688.1058083070827,3719.7926155249747,1836.8019878605858,1199.100616199661,2272.992279123759,865.0541283397617,2667.057857139799
12,3773.7394574096406,1426.5563541166425,2855.718373575388,1512.677640748917,994.6406878683291,1893.5048550711292,766.4891156248391,2083.9859148117102
13,3697.5615700812714,1551.4817393677408,2806.237497541775,1490.7791799898766,959.6377941465538,1829.366809493082,792.4035126162817,1996.3465326655971
14,4347.259119731827,1690.4168650371253,3317.696088417044,1690.5686630926148,1126.9127866950917,2110.451038660015,870.3992696672567,2386.5642968685756
15,3740.7088693369524,1579.2650067296677,2999.4900412758348,1533.8939170956219,1007.6118002996473,1813.4527218427986,792.4423201984495,2271.227071460542
16,3671.479547420541,1449.0517328417643,2660.967068837791,1450.0378728564874,885.3026167138734,1637.850063346556,734.8039699141088,2003.9731653831902
17,3948.223077559836,1624.4104128132856,3227.3987347920715,1669.229622714979,1068.0063342213914,2016.6604872355456,790.0703829720911,2364.007351716457
18,3451.736451022066,1499.3303483371199,3088.3220538489986,1558.8322867446382,1017.0545132282413,1872.807311623963,750.5321512356286,2295.2719102473416
