,Generator,Time,Value,Zones,Type,$/MWh
0,CJTSEnergyCenterUNIT4,1,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
1,CJTSEnergyCenterUNIT4,2,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
2,CJTSEnergyCenterUNIT4,3,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
3,CJTSEnergyCenterUNIT4,4,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
4,CJTSEnergyCenterUNIT4,5,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
5,CJTSEnergyCenterUNIT4,6,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
6,CJTSEnergyCenterUNIT4,7,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
7,CJTSEnergyCenterUNIT4,8,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
8,CJTSEnergyCenterUNIT4,9,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
9,CJTSEnergyCenterUNIT4,10,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
10,CJTSEnergyCenterUNIT4,11,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
11,CJTSEnergyCenterUNIT4,12,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
12,CJTSEnergyCenterUNIT4,13,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
13,CJTSEnergyCenterUNIT4,14,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
14,CJTSEnergyCenterUNIT4,15,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
15,CJTSEnergyCenterUNIT4,16,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
16,CJTSEnergyCenterUNIT4,17,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
17,CJTSEnergyCenterUNIT4,18,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
18,CJTSEnergyCenterUNIT4,19,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
19,CJTSEnergyCenterUNIT4,20,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
20,CJTSEnergyCenterUNIT4,21,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
21,CJTSEnergyCenterUNIT4,22,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
22,CJTSEnergyCenterUNIT4,23,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
23,CJTSEnergyCenterUNIT4,24,0.0,"243    CT
Name: zone, dtype: object",Gas,61.21188568990747
24,BridgeportEnergyProjectGEN3,1,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
25,BridgeportEnergyProjectGEN3,2,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
26,BridgeportEnergyProjectGEN3,3,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
27,BridgeportEnergyProjectGEN3,4,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
28,BridgeportEnergyProjectGEN3,5,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
29,BridgeportEnergyProjectGEN3,6,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
30,BridgeportEnergyProjectGEN3,7,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
31,BridgeportEnergyProjectGEN3,8,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
32,BridgeportEnergyProjectGEN3,9,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
33,BridgeportEnergyProjectGEN3,10,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
34,BridgeportEnergyProjectGEN3,11,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
35,BridgeportEnergyProjectGEN3,12,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
36,BridgeportEnergyProjectGEN3,13,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
37,BridgeportEnergyProjectGEN3,14,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
38,BridgeportEnergyProjectGEN3,15,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
39,BridgeportEnergyProjectGEN3,16,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
40,BridgeportEnergyProjectGEN3,17,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
41,BridgeportEnergyProjectGEN3,18,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
42,BridgeportEnergyProjectGEN3,19,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
43,BridgeportEnergyProjectGEN3,20,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
44,BridgeportEnergyProjectGEN3,21,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
45,BridgeportEnergyProjectGEN3,22,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
46,BridgeportEnergyProjectGEN3,23,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
47,BridgeportEnergyProjectGEN3,24,108.0,"236    CT
Name: zone, dtype: object",Gas,26.296843740690786
48,FritoLayIncorporatedCOGEN,1,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
49,FritoLayIncorporatedCOGEN,2,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
50,FritoLayIncorporatedCOGEN,3,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
51,FritoLayIncorporatedCOGEN,4,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
52,FritoLayIncorporatedCOGEN,5,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
53,FritoLayIncorporatedCOGEN,6,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
54,FritoLayIncorporatedCOGEN,7,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
55,FritoLayIncorporatedCOGEN,8,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
56,FritoLayIncorporatedCOGEN,9,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
57,FritoLayIncorporatedCOGEN,10,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
58,FritoLayIncorporatedCOGEN,11,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
59,FritoLayIncorporatedCOGEN,12,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
60,FritoLayIncorporatedCOGEN,13,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
61,FritoLayIncorporatedCOGEN,14,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
62,FritoLayIncorporatedCOGEN,15,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
63,FritoLayIncorporatedCOGEN,16,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
64,FritoLayIncorporatedCOGEN,17,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
65,FritoLayIncorporatedCOGEN,18,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
66,FritoLayIncorporatedCOGEN,19,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
67,FritoLayIncorporatedCOGEN,20,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
68,FritoLayIncorporatedCOGEN,21,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
69,FritoLayIncorporatedCOGEN,22,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
70,FritoLayIncorporatedCOGEN,23,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
71,FritoLayIncorporatedCOGEN,24,0.0,"104    CT
Name: zone, dtype: object",Gas,67.09928535671285
