,Generator,Time,Value,Zones
0,CJTSEnergyCenterUNIT4,1,0.2,"243    CT
Name: zone, dtype: object"
1,CJTSEnergyCenterUNIT4,2,0.2,"243    CT
Name: zone, dtype: object"
2,CJTSEnergyCenterUNIT4,3,0.2,"243    CT
Name: zone, dtype: object"
3,CJTSEnergyCenterUNIT4,4,0.2,"243    CT
Name: zone, dtype: object"
4,CJTSEnergyCenterUNIT4,5,0.2,"243    CT
Name: zone, dtype: object"
5,CJTSEnergyCenterUNIT4,6,0.2,"243    CT
Name: zone, dtype: object"
6,CJTSEnergyCenterUNIT4,7,0.2,"243    CT
Name: zone, dtype: object"
7,CJTSEnergyCenterUNIT4,8,0.2,"243    CT
Name: zone, dtype: object"
8,CJTSEnergyCenterUNIT4,9,0.2,"243    CT
Name: zone, dtype: object"
9,CJTSEnergyCenterUNIT4,10,0.2,"243    CT
Name: zone, dtype: object"
10,CJTSEnergyCenterUNIT4,11,0.2,"243    CT
Name: zone, dtype: object"
11,CJTSEnergyCenterUNIT4,12,0.2,"243    CT
Name: zone, dtype: object"
12,CJTSEnergyCenterUNIT4,13,0.2,"243    CT
Name: zone, dtype: object"
13,CJTSEnergyCenterUNIT4,14,0.2,"243    CT
Name: zone, dtype: object"
14,CJTSEnergyCenterUNIT4,15,0.2,"243    CT
Name: zone, dtype: object"
15,CJTSEnergyCenterUNIT4,16,0.2,"243    CT
Name: zone, dtype: object"
16,CJTSEnergyCenterUNIT4,17,0.2,"243    CT
Name: zone, dtype: object"
17,CJTSEnergyCenterUNIT4,18,0.2,"243    CT
Name: zone, dtype: object"
18,CJTSEnergyCenterUNIT4,19,0.2,"243    CT
Name: zone, dtype: object"
19,CJTSEnergyCenterUNIT4,20,0.2,"243    CT
Name: zone, dtype: object"
20,CJTSEnergyCenterUNIT4,21,0.2,"243    CT
Name: zone, dtype: object"
21,CJTSEnergyCenterUNIT4,22,0.2,"243    CT
Name: zone, dtype: object"
22,CJTSEnergyCenterUNIT4,23,0.2,"243    CT
Name: zone, dtype: object"
23,CJTSEnergyCenterUNIT4,24,0.2,"243    CT
Name: zone, dtype: object"
24,BridgeportEnergyProjectGEN3,1,72.0,"236    CT
Name: zone, dtype: object"
25,BridgeportEnergyProjectGEN3,2,72.0,"236    CT
Name: zone, dtype: object"
26,BridgeportEnergyProjectGEN3,3,72.0,"236    CT
Name: zone, dtype: object"
27,BridgeportEnergyProjectGEN3,4,72.0,"236    CT
Name: zone, dtype: object"
28,BridgeportEnergyProjectGEN3,5,72.0,"236    CT
Name: zone, dtype: object"
29,BridgeportEnergyProjectGEN3,6,72.0,"236    CT
Name: zone, dtype: object"
30,BridgeportEnergyProjectGEN3,7,72.0,"236    CT
Name: zone, dtype: object"
31,BridgeportEnergyProjectGEN3,8,72.0,"236    CT
Name: zone, dtype: object"
32,BridgeportEnergyProjectGEN3,9,72.0,"236    CT
Name: zone, dtype: object"
33,BridgeportEnergyProjectGEN3,10,72.0,"236    CT
Name: zone, dtype: object"
34,BridgeportEnergyProjectGEN3,11,72.0,"236    CT
Name: zone, dtype: object"
35,BridgeportEnergyProjectGEN3,12,72.0,"236    CT
Name: zone, dtype: object"
36,BridgeportEnergyProjectGEN3,13,72.0,"236    CT
Name: zone, dtype: object"
37,BridgeportEnergyProjectGEN3,14,72.0,"236    CT
Name: zone, dtype: object"
38,BridgeportEnergyProjectGEN3,15,72.0,"236    CT
Name: zone, dtype: object"
39,BridgeportEnergyProjectGEN3,16,72.0,"236    CT
Name: zone, dtype: object"
40,BridgeportEnergyProjectGEN3,17,72.0,"236    CT
Name: zone, dtype: object"
41,BridgeportEnergyProjectGEN3,18,72.0,"236    CT
Name: zone, dtype: object"
42,BridgeportEnergyProjectGEN3,19,72.0,"236    CT
Name: zone, dtype: object"
43,BridgeportEnergyProjectGEN3,20,72.0,"236    CT
Name: zone, dtype: object"
44,BridgeportEnergyProjectGEN3,21,72.0,"236    CT
Name: zone, dtype: object"
45,BridgeportEnergyProjectGEN3,22,72.0,"236    CT
Name: zone, dtype: object"
46,BridgeportEnergyProjectGEN3,23,72.0,"236    CT
Name: zone, dtype: object"
47,BridgeportEnergyProjectGEN3,24,72.0,"236    CT
Name: zone, dtype: object"
48,FritoLayIncorporatedCOGEN,1,4.6,"104    CT
Name: zone, dtype: object"
49,FritoLayIncorporatedCOGEN,2,4.6,"104    CT
Name: zone, dtype: object"
50,FritoLayIncorporatedCOGEN,3,4.6,"104    CT
Name: zone, dtype: object"
51,FritoLayIncorporatedCOGEN,4,4.6,"104    CT
Name: zone, dtype: object"
52,FritoLayIncorporatedCOGEN,5,4.6,"104    CT
Name: zone, dtype: object"
53,FritoLayIncorporatedCOGEN,6,4.6,"104    CT
Name: zone, dtype: object"
54,FritoLayIncorporatedCOGEN,7,4.6,"104    CT
Name: zone, dtype: object"
55,FritoLayIncorporatedCOGEN,8,4.6,"104    CT
Name: zone, dtype: object"
56,FritoLayIncorporatedCOGEN,9,4.6,"104    CT
Name: zone, dtype: object"
57,FritoLayIncorporatedCOGEN,10,4.6,"104    CT
Name: zone, dtype: object"
58,FritoLayIncorporatedCOGEN,11,4.6,"104    CT
Name: zone, dtype: object"
59,FritoLayIncorporatedCOGEN,12,4.6,"104    CT
Name: zone, dtype: object"
60,FritoLayIncorporatedCOGEN,13,4.6,"104    CT
Name: zone, dtype: object"
61,FritoLayIncorporatedCOGEN,14,4.6,"104    CT
Name: zone, dtype: object"
62,FritoLayIncorporatedCOGEN,15,4.6,"104    CT
Name: zone, dtype: object"
63,FritoLayIncorporatedCOGEN,16,4.6,"104    CT
Name: zone, dtype: object"
64,FritoLayIncorporatedCOGEN,17,4.6,"104    CT
Name: zone, dtype: object"
65,FritoLayIncorporatedCOGEN,18,4.6,"104    CT
Name: zone, dtype: object"
66,FritoLayIncorporatedCOGEN,19,4.6,"104    CT
Name: zone, dtype: object"
67,FritoLayIncorporatedCOGEN,20,4.6,"104    CT
Name: zone, dtype: object"
68,FritoLayIncorporatedCOGEN,21,4.6,"104    CT
Name: zone, dtype: object"
69,FritoLayIncorporatedCOGEN,22,4.6,"104    CT
Name: zone, dtype: object"
70,FritoLayIncorporatedCOGEN,23,4.6,"104    CT
Name: zone, dtype: object"
71,FritoLayIncorporatedCOGEN,24,4.6,"104    CT
Name: zone, dtype: object"
72,BridgeportStation2,1,163.0,"303    CT
Name: zone, dtype: object"
73,BridgeportStation2,2,163.0,"303    CT
Name: zone, dtype: object"
74,BridgeportStation2,3,163.0,"303    CT
Name: zone, dtype: object"
75,BridgeportStation2,4,163.0,"303    CT
Name: zone, dtype: object"
76,BridgeportStation2,5,163.0,"303    CT
Name: zone, dtype: object"
77,BridgeportStation2,6,163.0,"303    CT
Name: zone, dtype: object"
78,BridgeportStation2,7,163.0,"303    CT
Name: zone, dtype: object"
79,BridgeportStation2,8,163.0,"303    CT
Name: zone, dtype: object"
80,BridgeportStation2,9,163.0,"303    CT
Name: zone, dtype: object"
81,BridgeportStation2,10,163.0,"303    CT
Name: zone, dtype: object"
82,BridgeportStation2,11,163.0,"303    CT
Name: zone, dtype: object"
83,BridgeportStation2,12,163.0,"303    CT
Name: zone, dtype: object"
84,BridgeportStation2,13,163.0,"303    CT
Name: zone, dtype: object"
85,BridgeportStation2,14,163.0,"303    CT
Name: zone, dtype: object"
86,BridgeportStation2,15,163.0,"303    CT
Name: zone, dtype: object"
87,BridgeportStation2,16,163.0,"303    CT
Name: zone, dtype: object"
88,BridgeportStation2,17,163.0,"303    CT
Name: zone, dtype: object"
89,BridgeportStation2,18,163.0,"303    CT
Name: zone, dtype: object"
90,BridgeportStation2,19,163.0,"303    CT
Name: zone, dtype: object"
91,BridgeportStation2,20,163.0,"303    CT
Name: zone, dtype: object"
92,BridgeportStation2,21,163.0,"303    CT
Name: zone, dtype: object"
93,BridgeportStation2,22,163.0,"303    CT
Name: zone, dtype: object"
94,BridgeportStation2,23,163.0,"303    CT
Name: zone, dtype: object"
95,BridgeportStation2,24,163.0,"303    CT
Name: zone, dtype: object"
96,WallingfordEnergyCTG3,1,50.0,"122    CT
Name: zone, dtype: object"
97,WallingfordEnergyCTG3,2,50.0,"122    CT
Name: zone, dtype: object"
98,WallingfordEnergyCTG3,3,50.0,"122    CT
Name: zone, dtype: object"
99,WallingfordEnergyCTG3,4,50.0,"122    CT
Name: zone, dtype: object"
100,WallingfordEnergyCTG3,5,50.0,"122    CT
Name: zone, dtype: object"
