,Zone,Time,Value
0,SEMA,1,399.0
1,SEMA,2,399.0
2,SEMA,3,399.0
3,SEMA,4,399.0
4,SEMA,5,399.0
5,SEMA,6,399.0
6,SEMA,7,399.0
7,SEMA,8,399.0
8,SEMA,9,399.0
9,SEMA,10,399.0
10,SEMA,11,399.0
11,SEMA,12,399.0
12,SEMA,13,399.0
13,SEMA,14,399.0
14,SEMA,15,399.0
15,SEMA,16,399.0
16,SEMA,17,399.0
17,SEMA,18,399.0
18,SEMA,19,399.0
19,SEMA,20,390.74391753189076
20,SEMA,21,303.657473097816
21,SEMA,22,250.899593429435
22,SEMA,23,157.4722292564763
23,SEMA,24,158.9715650907464
24,VT,1,0.0
25,VT,2,0.0
26,VT,3,0.0
27,VT,4,0.0
28,VT,5,0.0
29,VT,6,0.0
30,VT,7,0.0
31,VT,8,0.0
32,VT,9,0.0
33,VT,10,0.0
34,VT,11,0.0
35,VT,12,0.0
36,VT,13,0.0
37,VT,14,0.0
38,VT,15,0.0
39,VT,16,0.0
40,VT,17,0.0
41,VT,18,0.0
42,VT,19,0.0
43,VT,20,0.0
44,VT,21,0.0
45,VT,22,0.0
46,VT,23,0.0
47,VT,24,0.0
48,WCMA,1,0.0
49,WCMA,2,0.0
50,WCMA,3,0.0
51,WCMA,4,0.0
52,WCMA,5,0.0
53,WCMA,6,0.0
54,WCMA,7,0.0
55,WCMA,8,0.0
56,WCMA,9,0.0
57,WCMA,10,0.0
58,WCMA,11,0.0
59,WCMA,12,0.0
60,WCMA,13,0.0
61,WCMA,14,0.0
62,WCMA,15,0.0
63,WCMA,16,0.0
64,WCMA,17,0.0
65,WCMA,18,0.0
66,WCMA,19,0.0
67,WCMA,20,0.0
68,WCMA,21,0.0
69,WCMA,22,0.0
70,WCMA,23,0.0
71,WCMA,24,0.0
72,RI,1,399.0
73,RI,2,399.0
74,RI,3,399.0
75,RI,4,399.0
76,RI,5,399.0
77,RI,6,399.0
78,RI,7,399.0
79,RI,8,399.0
80,RI,9,399.0
81,RI,10,399.0
82,RI,11,399.0
83,RI,12,399.0
84,RI,13,399.0
85,RI,14,399.0
86,RI,15,399.0
87,RI,16,399.0
88,RI,17,399.0
89,RI,18,399.0
90,RI,19,399.0
91,RI,20,390.74391753189076
92,RI,21,303.657473097816
93,RI,22,250.899593429435
94,RI,23,157.4722292564763
95,RI,24,158.9715650907464
96,NH,1,0.0
97,NH,2,0.0
98,NH,3,0.0
99,NH,4,0.0
100,NH,5,0.0
101,NH,6,0.0
102,NH,7,0.0
103,NH,8,0.0
104,NH,9,0.0
105,NH,10,0.0
106,NH,11,0.0
107,NH,12,0.0
108,NH,13,0.0
109,NH,14,0.0
110,NH,15,0.0
111,NH,16,0.0
112,NH,17,0.0
113,NH,18,0.0
114,NH,19,0.0
115,NH,20,0.0
116,NH,21,0.0
117,NH,22,0.0
118,NH,23,0.0
119,NH,24,0.0
120,CT,1,0.0
121,CT,2,0.0
122,CT,3,0.0
123,CT,4,0.0
124,CT,5,0.0
125,CT,6,0.0
126,CT,7,0.0
127,CT,8,0.0
128,CT,9,0.0
129,CT,10,0.0
130,CT,11,0.0
131,CT,12,0.0
132,CT,13,0.0
133,CT,14,0.0
134,CT,15,0.0
135,CT,16,0.0
136,CT,17,0.0
137,CT,18,0.0
138,CT,19,0.0
139,CT,20,0.0
140,CT,21,0.0
141,CT,22,0.0
142,CT,23,0.0
143,CT,24,0.0
144,NEMA,1,0.0
145,NEMA,2,0.0
146,NEMA,3,0.0
147,NEMA,4,0.0
148,NEMA,5,0.0
149,NEMA,6,0.0
150,NEMA,7,0.0
151,NEMA,8,0.0
152,NEMA,9,0.0
153,NEMA,10,0.0
154,NEMA,11,0.0
155,NEMA,12,0.0
156,NEMA,13,0.0
157,NEMA,14,0.0
158,NEMA,15,0.0
159,NEMA,16,0.0
160,NEMA,17,0.0
161,NEMA,18,0.0
162,NEMA,19,0.0
163,NEMA,20,0.0
164,NEMA,21,0.0
165,NEMA,22,0.0
166,NEMA,23,0.0
167,NEMA,24,0.0
168,ME,1,0.0
169,ME,2,0.0
170,ME,3,0.0
171,ME,4,0.0
172,ME,5,0.0
173,ME,6,0.0
174,ME,7,0.0
175,ME,8,0.0
176,ME,9,0.0
177,ME,10,0.0
178,ME,11,0.0
179,ME,12,0.0
180,ME,13,0.0
181,ME,14,0.0
182,ME,15,0.0
183,ME,16,0.0
184,ME,17,0.0
185,ME,18,0.0
186,ME,19,0.0
187,ME,20,0.0
188,ME,21,0.0
189,ME,22,0.0
190,ME,23,0.0
191,ME,24,0.0
