,Source,Sink,Time,Value
0,WCMA,WCMA,1,0.0
1,WCMA,WCMA,2,0.0
2,WCMA,WCMA,3,0.0
3,WCMA,WCMA,4,0.0
4,WCMA,WCMA,5,0.0
5,WCMA,WCMA,6,0.0
6,WCMA,WCMA,7,0.0
7,WCMA,WCMA,8,0.0
8,WCMA,WCMA,9,0.0
9,WCMA,WCMA,10,0.0
10,WCMA,WCMA,11,0.0
11,WCMA,WCMA,12,0.0
12,WCMA,WCMA,13,0.0
13,WCMA,WCMA,14,0.0
14,WCMA,WCMA,15,0.0
15,WCMA,WCMA,16,0.0
16,WCMA,WCMA,17,0.0
17,WCMA,WCMA,18,0.0
18,WCMA,WCMA,19,0.0
19,WCMA,WCMA,20,0.0
20,WCMA,WCMA,21,0.0
21,WCMA,WCMA,22,0.0
22,WCMA,WCMA,23,0.0
23,WCMA,WCMA,24,0.0
24,WCMA,NH,1,2700.0
25,WCMA,NH,2,178.81549999999908
26,WCMA,NH,3,2700.0
27,WCMA,NH,4,2700.0
28,WCMA,NH,5,90.71549999999951
29,WCMA,NH,6,2700.0
30,WCMA,NH,7,2700.0
31,WCMA,NH,8,0.0
32,WCMA,NH,9,0.0
33,WCMA,NH,10,2700.0
34,WCMA,NH,11,2700.0
35,WCMA,NH,12,2700.0
36,WCMA,NH,13,2700.0
37,WCMA,NH,14,2700.0
38,WCMA,NH,15,2700.0
39,WCMA,NH,16,2700.0
40,WCMA,NH,17,2700.0
41,WCMA,NH,18,2700.0
42,WCMA,NH,19,2700.0
43,WCMA,NH,20,2700.0
44,WCMA,NH,21,2700.0
45,WCMA,NH,22,2700.0
46,WCMA,NH,23,2700.0
47,WCMA,NH,24,2700.0
48,WCMA,NEMA,1,460.36539999999957
49,WCMA,NEMA,2,2642.446
50,WCMA,NEMA,3,166.88949999999932
51,WCMA,NEMA,4,0.0
52,WCMA,NEMA,5,2427.9450999999995
53,WCMA,NEMA,6,0.0
54,WCMA,NEMA,7,0.0
55,WCMA,NEMA,8,10000.0
56,WCMA,NEMA,9,455.67732754000696
57,WCMA,NEMA,10,0.0
58,WCMA,NEMA,11,0.0
59,WCMA,NEMA,12,0.0
60,WCMA,NEMA,13,0.0
61,WCMA,NEMA,14,0.0
62,WCMA,NEMA,15,0.0
63,WCMA,NEMA,16,0.0
64,WCMA,NEMA,17,0.0
65,WCMA,NEMA,18,0.0
66,WCMA,NEMA,19,0.0
67,WCMA,NEMA,20,0.0
68,WCMA,NEMA,21,0.0
69,WCMA,NEMA,22,0.0
70,WCMA,NEMA,23,0.0
71,WCMA,NEMA,24,649.9453999999989
72,WCMA,ME,1,0.0
73,WCMA,ME,2,0.0
74,WCMA,ME,3,0.0
75,WCMA,ME,4,0.0
76,WCMA,ME,5,0.0
77,WCMA,ME,6,0.0
78,WCMA,ME,7,0.0
79,WCMA,ME,8,0.0
80,WCMA,ME,9,0.0
81,WCMA,ME,10,0.0
82,WCMA,ME,11,0.0
83,WCMA,ME,12,0.0
84,WCMA,ME,13,0.0
85,WCMA,ME,14,0.0
86,WCMA,ME,15,0.0
87,WCMA,ME,16,0.0
88,WCMA,ME,17,0.0
89,WCMA,ME,18,0.0
90,WCMA,ME,19,0.0
91,WCMA,ME,20,0.0
92,WCMA,ME,21,0.0
93,WCMA,ME,22,0.0
94,WCMA,ME,23,0.0
95,WCMA,ME,24,0.0
96,WCMA,RI,1,0.0
97,WCMA,RI,2,0.0
98,WCMA,RI,3,0.0
99,WCMA,RI,4,3400.0
100,WCMA,RI,5,0.0
101,WCMA,RI,6,3400.0
102,WCMA,RI,7,3400.0
103,WCMA,RI,8,0.0
104,WCMA,RI,9,3400.0
105,WCMA,RI,10,3400.0
106,WCMA,RI,11,3400.0
107,WCMA,RI,12,3400.0
108,WCMA,RI,13,3400.0
109,WCMA,RI,14,3400.0
110,WCMA,RI,15,3400.0
111,WCMA,RI,16,3400.0
112,WCMA,RI,17,3400.0
113,WCMA,RI,18,3400.0
114,WCMA,RI,19,3400.0
115,WCMA,RI,20,3400.0
116,WCMA,RI,21,3400.0
117,WCMA,RI,22,3400.0
118,WCMA,RI,23,3400.0
119,WCMA,RI,24,0.0
120,WCMA,CT,1,2161.7711000000004
121,WCMA,CT,2,0.0
122,WCMA,CT,3,2045.0710999999997
123,WCMA,CT,4,2012.5711
124,WCMA,CT,5,0.0
125,WCMA,CT,6,1995.3710999999998
126,WCMA,CT,7,2080.4510999999993
127,WCMA,CT,8,0.0
128,WCMA,CT,9,2212.8483799999976
129,WCMA,CT,10,2153.9302000000007
130,WCMA,CT,11,2394.0910999999987
131,WCMA,CT,12,2408.9910999999993
132,WCMA,CT,13,2200.4910999999993
133,WCMA,CT,14,2377.5911
134,WCMA,CT,15,2185.391099999999
135,WCMA,CT,16,2263.2351100000005
136,WCMA,CT,17,2682.5910999999987
137,WCMA,CT,18,2744.6910999999996
138,WCMA,CT,19,2774.191099999999
139,WCMA,CT,20,2901.4910999999997
140,WCMA,CT,21,2804.1910999999996
141,WCMA,CT,22,2616.891099999998
142,WCMA,CT,23,2376.3910999999994
143,WCMA,CT,24,2236.7911
144,WCMA,VT,1,0.0
145,WCMA,VT,2,2700.0
146,WCMA,VT,3,0.0
147,WCMA,VT,4,0.0
148,WCMA,VT,5,2700.0
149,WCMA,VT,6,0.0
150,WCMA,VT,7,0.0
151,WCMA,VT,8,2700.0
152,WCMA,VT,9,0.0
153,WCMA,VT,10,0.0
154,WCMA,VT,11,0.0
155,WCMA,VT,12,0.0
156,WCMA,VT,13,0.0
157,WCMA,VT,14,0.0
158,WCMA,VT,15,0.0
159,WCMA,VT,16,0.0
160,WCMA,VT,17,0.0
161,WCMA,VT,18,0.0
162,WCMA,VT,19,0.0
163,WCMA,VT,20,0.0
164,WCMA,VT,21,0.0
165,WCMA,VT,22,0.0
166,WCMA,VT,23,0.0
167,WCMA,VT,24,0.0
168,WCMA,SEMA,1,0.0
169,WCMA,SEMA,2,0.0
170,WCMA,SEMA,3,0.0
171,WCMA,SEMA,4,0.0
172,WCMA,SEMA,5,0.0
173,WCMA,SEMA,6,0.0
174,WCMA,SEMA,7,0.0
175,WCMA,SEMA,8,0.0
176,WCMA,SEMA,9,0.0
177,WCMA,SEMA,10,0.0
178,WCMA,SEMA,11,0.0
179,WCMA,SEMA,12,0.0
180,WCMA,SEMA,13,0.0
181,WCMA,SEMA,14,0.0
182,WCMA,SEMA,15,0.0
183,WCMA,SEMA,16,0.0
184,WCMA,SEMA,17,0.0
185,WCMA,SEMA,18,0.0
186,WCMA,SEMA,19,0.0
187,WCMA,SEMA,20,0.0
188,WCMA,SEMA,21,0.0
189,WCMA,SEMA,22,0.0
190,WCMA,SEMA,23,0.0
191,WCMA,SEMA,24,0.0
192,NH,WCMA,1,0.0
193,NH,WCMA,2,0.0
194,NH,WCMA,3,0.0
195,NH,WCMA,4,0.0
196,NH,WCMA,5,0.0
197,NH,WCMA,6,0.0
198,NH,WCMA,7,0.0
199,NH,WCMA,8,9327.694500000001
200,NH,WCMA,9,3842.6651075400055
201,NH,WCMA,10,0.0
202,NH,WCMA,11,0.0
203,NH,WCMA,12,0.0
204,NH,WCMA,13,0.0
205,NH,WCMA,14,0.0
206,NH,WCMA,15,0.0
207,NH,WCMA,16,0.0
208,NH,WCMA,17,0.0
209,NH,WCMA,18,0.0
210,NH,WCMA,19,0.0
211,NH,WCMA,20,0.0
212,NH,WCMA,21,0.0
213,NH,WCMA,22,0.0
214,NH,WCMA,23,0.0
215,NH,WCMA,24,0.0
216,NH,NH,1,0.0
217,NH,NH,2,0.0
218,NH,NH,3,0.0
219,NH,NH,4,0.0
220,NH,NH,5,0.0
221,NH,NH,6,0.0
222,NH,NH,7,0.0
223,NH,NH,8,0.0
224,NH,NH,9,0.0
225,NH,NH,10,0.0
226,NH,NH,11,0.0
227,NH,NH,12,0.0
228,NH,NH,13,0.0
229,NH,NH,14,0.0
230,NH,NH,15,0.0
231,NH,NH,16,0.0
232,NH,NH,17,0.0
233,NH,NH,18,0.0
234,NH,NH,19,0.0
235,NH,NH,20,0.0
236,NH,NH,21,0.0
237,NH,NH,22,0.0
238,NH,NH,23,0.0
239,NH,NH,24,0.0
240,NH,NEMA,1,1869.9095000000004
241,NH,NEMA,2,4850.0
242,NH,NEMA,3,2040.934500000001
243,NH,NEMA,4,2054.2845000000007
244,NH,NEMA,5,4850.0
245,NH,NEMA,6,1942.9095000000004
246,NH,NEMA,7,1977.7295000000006
247,NH,NEMA,8,0.0
248,NH,NEMA,9,0.0
249,NH,NEMA,10,1483.8445000000008
250,NH,NEMA,11,1514.4054000000008
251,NH,NEMA,12,2196.7454000000002
252,NH,NEMA,13,1662.5054000000016
253,NH,NEMA,14,2300.8054
254,NH,NEMA,15,1612.4053999999987
255,NH,NEMA,16,1544.3494100000014
256,NH,NEMA,17,2555.502191000006
257,NH,NEMA,18,2943.8262425600014
258,NH,NEMA,19,3085.515607999996
259,NH,NEMA,20,2602.9053999999996
260,NH,NEMA,21,2650.6195000000016
261,NH,NEMA,22,2949.6053999999986
262,NH,NEMA,23,2193.3053999999997
263,NH,NEMA,24,1862.129500000001
264,NH,ME,1,0.0
265,NH,ME,2,0.0
266,NH,ME,3,0.0
267,NH,ME,4,0.0
268,NH,ME,5,0.0
269,NH,ME,6,0.0
