,Generator,Time,Value,Zones
0,BackusMicrogridProjectBMP1,1,2.6,CT
1,BackusMicrogridProjectBMP1,2,2.6,CT
2,BackusMicrogridProjectBMP1,3,2.6,CT
3,BackusMicrogridProjectBMP1,4,2.6,CT
4,BackusMicrogridProjectBMP1,5,2.6,CT
5,BackusMicrogridProjectBMP1,6,2.6,CT
6,BackusMicrogridProjectBMP1,7,2.6,CT
7,BackusMicrogridProjectBMP1,8,2.6,CT
8,BackusMicrogridProjectBMP1,9,2.6,CT
9,BackusMicrogridProjectBMP1,10,2.6,CT
10,BackusMicrogridProjectBMP1,11,2.6,CT
11,BackusMicrogridProjectBMP1,12,2.6,CT
12,BackusMicrogridProjectBMP1,13,2.6,CT
13,BackusMicrogridProjectBMP1,14,2.6,CT
14,BackusMicrogridProjectBMP1,15,2.6,CT
15,BackusMicrogridProjectBMP1,16,2.6,CT
16,BackusMicrogridProjectBMP1,17,2.6,CT
17,BackusMicrogridProjectBMP1,18,2.6,CT
18,BackusMicrogridProjectBMP1,19,2.6,CT
19,BackusMicrogridProjectBMP1,20,2.6,CT
20,BackusMicrogridProjectBMP1,21,2.6,CT
21,BackusMicrogridProjectBMP1,22,2.6,CT
22,BackusMicrogridProjectBMP1,23,2.6,CT
23,BackusMicrogridProjectBMP1,24,2.6,CT
24,BridgeportFuelCellPark1,1,16.6,CT
25,BridgeportFuelCellPark1,2,16.6,CT
26,BridgeportFuelCellPark1,3,16.6,CT
27,BridgeportFuelCellPark1,4,16.6,CT
28,BridgeportFuelCellPark1,5,16.6,CT
29,BridgeportFuelCellPark1,6,16.6,CT
30,BridgeportFuelCellPark1,7,16.6,CT
31,BridgeportFuelCellPark1,8,16.6,CT
32,BridgeportFuelCellPark1,9,16.6,CT
33,BridgeportFuelCellPark1,10,16.6,CT
34,BridgeportFuelCellPark1,11,16.6,CT
35,BridgeportFuelCellPark1,12,16.6,CT
36,BridgeportFuelCellPark1,13,16.6,CT
37,BridgeportFuelCellPark1,14,16.6,CT
38,BridgeportFuelCellPark1,15,16.6,CT
39,BridgeportFuelCellPark1,16,16.6,CT
40,BridgeportFuelCellPark1,17,16.6,CT
41,BridgeportFuelCellPark1,18,16.6,CT
42,BridgeportFuelCellPark1,19,16.6,CT
43,BridgeportFuelCellPark1,20,16.6,CT
44,BridgeportFuelCellPark1,21,16.6,CT
45,BridgeportFuelCellPark1,22,16.6,CT
46,BridgeportFuelCellPark1,23,16.6,CT
47,BridgeportFuelCellPark1,24,16.6,CT
48,UncasvilleMillGEN1,1,0.0,CT
49,UncasvilleMillGEN1,2,0.5599999999999998,CT
50,UncasvilleMillGEN1,3,0.0,CT
51,UncasvilleMillGEN1,4,0.0,CT
52,UncasvilleMillGEN1,5,0.4590999999981601,CT
53,UncasvilleMillGEN1,6,0.0,CT
54,UncasvilleMillGEN1,7,0.0,CT
55,UncasvilleMillGEN1,8,0.0,CT
56,UncasvilleMillGEN1,9,0.0,CT
57,UncasvilleMillGEN1,10,0.0,CT
58,UncasvilleMillGEN1,11,0.0,CT
59,UncasvilleMillGEN1,12,0.0,CT
60,UncasvilleMillGEN1,13,0.0,CT
61,UncasvilleMillGEN1,14,0.0,CT
62,UncasvilleMillGEN1,15,0.0,CT
63,UncasvilleMillGEN1,16,0.0,CT
64,UncasvilleMillGEN1,17,0.0,CT
65,UncasvilleMillGEN1,18,0.0,CT
66,UncasvilleMillGEN1,19,0.0,CT
67,UncasvilleMillGEN1,20,0.0,CT
68,UncasvilleMillGEN1,21,0.0,CT
69,UncasvilleMillGEN1,22,0.0,CT
